rollno,assignment_1,assignment_2,assignment_3,assignment_4,labs,lab_exam,midsem_1,midsem_2,end_sem
1,4.75,4.75,7.25,3.5,6.25,1.75,26.75,39.25,100.25
2,7.0,5.0,5.5,6.0,6.5,1.75,52.75,44.25,75.25
3,4.25,4.5,5.25,5.5,3.5,2.0,43.5,29.75,109.5
4,3.75,7.0,6.25,7.5,5.25,1.5,38.75,49.5,84.5
5,6.0,5.75,4.0,8.25,4.5,2.25,45.25,36.75,154.75
6,8.0,3.0,9.0,3.5,6.5,1.75,7.25,42.75,51.75
7,5.75,3.5,8.75,6.25,4.25,1.25,27.0,48.5,158.0
8,10.0,4.75,4.5,6.5,3.25,2.0,47.25,38.0,91.75
9,4.25,3.25,7.0,5.5,4.75,3.0,38.0,23.5,71.75
10,3.5,4.5,4.0,4.75,3.25,2.5,73.5,59.25,94.25
11,4.25,7.25,4.75,5.0,5.75,2.25,51.0,16.75,119.75
12,6.75,7.25,5.0,6.75,5.75,3.5,47.0,37.75,62.5
13,8.0,4.0,3.5,8.0,2.5,2.25,41.75,25.0,31.0
14,2.75,4.0,3.5,7.75,4.0,2.5,22.0,57.25,99.25
15,6.0,5.5,4.5,4.0,1.5,2.75,16.75,50.5,107.25
16,6.5,4.75,6.0,4.75,3.0,3.25,27.25,24.25,138.0
17,4.75,5.25,5.25,4.5,5.25,2.25,69.25,34.5,79.75
18,5.75,7.0,4.75,3.5,2.75,1.75,42.0,18.75,129.0
19,4.0,3.25,6.25,8.0,10.0,2.75,17.5,44.25,100.25
20,4.75,3.25,9.25,1.25,6.0,1.0,20.5,31.0,48.75
21,7.75,5.5,9.5,5.0,2.75,4.0,45.25,22.5,3.0
22,5.75,5.0,7.5,3.5,4.5,3.0,22.25,20.25,139.0
23,4.75,3.0,1.75,4.75,2.5,3.0,33.5,37.5,79.0
24,5.0,6.75,4.75,6.5,2.5,2.25,53.75,43.75,66.25
25,8.0,5.25,5.75,6.5,5.25,3.5,30.25,59.5,79.25
26,2.75,3.75,7.25,5.5,5.25,2.0,27.0,19.5,109.75
27,8.5,7.25,0.5,5.25,7.5,3.5,59.0,65.25,64.75
28,5.75,4.25,7.25,3.5,4.25,1.25,47.75,68.0,172.75
29,7.75,5.0,9.25,3.0,4.0,2.25,24.25,59.75,149.5
30,8.5,5.25,9.25,7.25,4.0,2.25,26.25,34.25,160.0
31,6.0,4.25,2.5,5.0,5.5,0.75,60.75,32.0,50.5
32,4.75,6.25,5.75,9.5,6.5,3.5,32.75,39.75,81.5
33,4.75,7.25,7.5,5.25,3.75,3.5,13.5,69.75,95.0
34,5.25,5.25,5.25,4.5,2.75,3.75,22.25,46.75,104.25
35,4.75,5.25,6.5,1.25,4.75,0.0,47.5,50.0,69.25
36,7.5,6.0,8.25,6.25,4.25,2.0,43.0,33.25,145.0
37,6.75,6.0,7.5,7.0,4.5,3.25,41.5,21.75,96.25
38,6.75,6.0,4.25,5.5,6.0,3.25,55.25,0.0,73.0
39,3.0,4.25,0.0,3.5,5.25,1.75,27.75,40.5,73.5
40,5.5,5.0,3.5,3.5,2.75,2.0,39.0,3.75,51.75
41,6.5,5.75,4.25,4.5,7.75,4.0,68.25,38.25,81.75
42,7.5,6.25,5.0,5.5,3.5,3.0,34.0,43.0,0.0
43,7.5,7.0,4.5,4.5,0.5,2.5,57.75,42.75,74.25
44,7.0,3.0,6.75,6.25,3.5,1.5,7.25,41.75,107.25
45,6.25,6.0,10.0,4.0,3.25,1.75,61.25,30.25,103.25
46,5.25,3.0,4.0,6.0,2.75,3.5,7.5,49.0,114.25
47,8.0,6.5,4.25,5.0,5.0,2.25,19.25,52.5,132.25
48,5.5,3.75,6.0,5.25,4.5,2.25,40.0,40.75,61.25
49,6.25,3.0,4.0,6.75,1.5,2.5,22.25,24.75,110.25
50,5.5,4.0,6.25,5.0,1.5,3.25,27.25,40.25,57.0
51,8.75,6.5,2.75,3.5,6.25,1.0,19.5,37.75,52.25
52,5.5,4.5,5.5,7.5,4.0,0.0,52.75,47.0,36.5
53,4.5,6.75,3.25,4.5,6.0,2.25,60.0,26.5,96.75
54,1.5,5.25,4.0,8.25,5.25,2.5,27.75,33.25,46.5
55,6.0,7.0,5.75,6.75,3.0,1.75,41.75,31.0,106.5
56,8.25,7.5,2.75,5.25,5.5,0.75,28.5,26.5,167.25
57,7.25,6.0,5.75,4.5,5.5,1.75,40.0,5.5,22.75
58,1.75,3.75,1.75,7.75,5.5,2.75,18.75,51.25,27.5
59,5.25,4.25,4.5,3.75,1.5,2.25,31.25,75.0,45.5
60,4.5,4.25,1.25,4.5,3.75,3.0,30.25,64.5,86.0
61,6.5,5.0,4.0,7.5,4.5,2.5,51.5,50.0,97.5
62,3.5,7.25,4.75,6.0,4.75,2.25,50.75,40.0,54.5
63,4.75,4.0,3.0,7.25,3.25,3.0,63.0,41.5,135.0
64,8.0,6.75,5.75,4.25,3.25,2.0,51.75,34.75,50.25
65,4.5,5.0,6.25,5.25,4.5,3.0,34.75,11.5,68.25
66,5.75,5.75,3.5,4.0,3.0,5.0,31.75,51.25,124.25
67,2.5,6.25,9.25,4.0,4.5,2.25,32.0,33.25,128.0
68,4.25,5.0,3.75,5.25,2.0,2.25,46.25,28.75,143.25
69,4.75,5.75,7.75,4.5,5.0,2.25,17.0,51.5,61.5
70,4.25,5.5,7.75,4.0,4.5,3.0,47.0,33.5,149.5
71,4.75,6.0,7.5,5.75,6.5,1.5,18.5,46.0,67.75
72,7.75,5.5,6.75,3.25,2.75,3.75,32.0,44.25,96.75
73,5.75,8.0,7.25,6.0,3.0,2.5,19.5,32.25,96.0
74,7.25,6.5,7.25,8.5,3.75,2.75,43.75,13.0,106.75
75,7.0,5.0,9.0,1.25,3.0,1.25,68.0,90.0,174.5
76,5.25,4.75,8.25,7.5,2.75,2.75,42.5,26.25,95.25
77,5.25,5.25,7.25,7.25,5.0,4.75,30.25,20.0,132.25
78,4.0,5.25,7.5,6.25,4.25,0.75,19.25,37.5,152.5
79,7.5,6.75,5.25,3.0,4.5,2.75,49.0,15.75,94.75
80,6.0,7.25,7.75,1.75,5.75,3.75,19.75,50.25,32.25
81,4.5,7.0,5.0,3.0,3.75,1.5,36.25,36.25,108.0
82,5.25,5.0,7.25,6.5,2.5,2.25,55.0,50.25,29.5
83,0.0,6.75,6.0,6.25,4.5,1.75,64.75,41.0,104.5
84,5.25,6.5,4.5,6.5,6.5,2.75,66.5,49.5,67.5
85,6.0,6.0,3.0,8.0,2.5,1.25,47.0,36.0,52.5
86,6.25,4.0,4.25,4.75,3.25,2.25,79.0,29.0,154.0
87,5.0,3.5,7.25,2.0,5.25,3.5,59.5,41.5,115.75
88,4.5,6.5,8.25,6.0,7.75,3.25,43.5,31.75,106.75
89,4.25,3.5,8.0,4.25,3.0,1.75,28.75,44.5,96.0
90,4.25,4.25,7.75,3.0,3.0,2.5,0.0,43.5,105.0
91,7.25,3.5,7.75,6.75,4.25,0.75,42.5,65.75,118.0
92,5.5,2.25,6.0,2.5,2.5,1.75,26.25,10.5,52.5
93,5.5,4.25,4.0,4.0,3.5,2.0,26.25,58.0,95.5
94,1.5,5.5,6.5,4.0,5.0,1.25,22.5,57.25,40.25
95,4.0,7.5,5.5,5.5,5.0,1.5,15.0,45.5,62.75
96,5.25,4.75,5.75,4.0,7.5,3.75,41.5,5.25,80.5
97,3.5,3.75,4.0,7.0,5.75,3.75,62.25,24.25,86.0
98,5.25,6.75,4.75,6.75,5.0,3.0,49.25,51.5,49.5
99,4.5,2.75,8.75,3.5,4.5,2.0,7.75,45.5,65.0
100,5.75,2.0,6.0,4.0,1.25,3.5,25.25,40.25,93.25
101,5.5,4.5,5.25,1.0,4.25,2.75,46.75,63.0,73.0
102,7.75,5.75,0.25,7.5,5.25,1.75,56.75,30.0,180.0
103,5.25,5.5,5.0,4.25,3.75,3.5,81.5,52.0,61.0
104,4.25,6.75,6.25,7.75,3.75,1.5,54.5,27.5,89.25
105,4.75,4.5,5.25,4.75,4.5,1.75,71.75,47.25,86.25
106,6.5,4.75,7.25,4.75,3.75,1.75,79.75,35.75,162.5
107,8.0,6.75,4.5,2.75,2.5,3.25,15.25,36.75,126.0
108,5.75,6.5,4.75,5.25,6.5,3.0,55.0,55.25,101.5
109,5.75,5.25,3.0,10.0,3.75,3.25,25.0,39.5,81.0
110,6.75,5.5,6.25,3.5,4.0,1.75,18.25,52.75,89.5
111,5.75,4.25,4.75,6.0,5.0,1.0,53.75,21.5,102.5
112,3.0,5.75,6.5,5.25,5.0,2.75,5.5,38.5,82.0
113,5.0,3.75,6.5,7.0,2.75,1.5,55.25,64.25,133.25
114,5.5,7.5,5.75,3.25,3.5,3.25,28.0,30.75,82.5
115,4.0,4.5,4.25,3.75,4.5,4.0,36.5,31.5,146.75
116,5.75,6.75,4.5,5.25,5.25,2.5,29.25,59.0,40.5
117,7.0,1.25,4.75,5.75,3.75,2.75,15.25,31.5,24.75
118,6.75,3.75,6.5,6.75,4.75,3.0,28.25,24.25,129.5
119,5.25,5.75,7.25,5.5,3.25,3.0,15.25,50.75,115.25
120,4.25,4.75,2.0,7.25,4.5,1.75,27.0,58.75,54.25
121,6.25,6.25,6.0,5.5,6.0,1.75,8.5,16.75,90.25
122,6.75,7.0,7.0,5.0,3.5,1.75,63.5,16.0,60.0
123,5.75,5.5,5.25,4.0,0.0,5.0,32.25,31.5,82.0
124,8.0,3.5,7.0,5.75,4.75,2.25,53.75,34.0,65.0
125,3.0,5.75,1.5,4.75,6.25,3.0,41.75,38.25,119.0
126,1.5,1.25,4.0,3.5,4.0,3.5,33.75,47.75,66.25
127,5.5,4.25,10.0,5.0,5.75,2.75,69.5,38.25,28.5
128,3.0,6.75,3.75,3.5,3.5,2.75,26.0,34.75,137.25
129,5.75,4.75,6.25,3.25,6.0,1.75,24.25,34.0,148.0
130,3.0,5.5,5.25,3.5,2.75,3.0,56.0,45.75,60.0
131,5.75,5.0,6.75,6.75,2.0,1.25,61.5,36.0,86.5
132,5.25,3.0,8.25,0.0,3.75,3.5,24.5,38.5,163.75
133,6.75,4.5,1.75,5.0,8.5,2.5,20.75,40.25,95.75
134,6.0,4.0,5.0,6.5,7.0,2.5,66.25,56.75,77.25
135,6.5,3.25,4.75,3.75,5.75,2.5,48.25,60.0,101.5
136,8.5,6.0,6.25,3.25,5.5,3.0,29.5,70.5,78.5
137,5.75,4.25,6.5,3.0,8.0,2.0,35.0,38.25,26.5
138,8.0,3.5,4.0,5.75,4.25,2.5,26.0,38.75,97.25
139,4.75,2.5,4.5,3.25,5.25,1.75,48.25,47.0,107.0
140,5.75,2.0,3.5,5.75,4.25,2.25,37.5,15.25,58.75
141,6.5,5.0,4.75,6.25,5.75,2.25,23.5,17.5,101.5
142,3.25,4.5,7.5,5.75,6.75,2.5,50.25,49.25,52.5
143,5.0,4.5,9.25,3.75,4.75,3.25,53.0,31.0,71.75
144,5.75,5.5,4.5,7.25,4.5,1.75,57.75,27.0,94.5
145,6.0,7.75,8.5,3.75,3.25,3.0,60.25,17.25,80.75
146,4.75,4.0,6.0,3.5,3.0,2.5,77.5,55.25,96.5
147,5.5,5.0,4.75,6.0,3.25,1.75,13.75,20.75,33.75
148,5.5,8.0,4.25,3.75,7.0,2.5,37.5,32.25,51.25
149,3.5,5.5,4.75,6.25,3.75,1.25,35.75,33.25,145.25
150,8.75,4.0,6.5,5.25,5.75,2.5,23.25,55.25,104.25
151,4.75,5.25,2.5,3.75,4.25,1.5,70.25,50.75,105.25
152,5.5,10.0,2.75,5.75,6.25,3.0,52.5,69.25,146.0
153,4.75,7.0,4.75,3.75,2.0,2.5,40.25,54.75,49.0
154,4.25,7.25,5.25,5.25,3.5,2.5,28.5,29.75,111.5
155,6.75,4.25,6.75,2.25,6.25,1.25,64.0,33.0,92.0
156,6.25,6.75,6.0,4.25,3.5,1.25,55.5,54.25,103.5
157,6.25,4.0,3.0,6.75,6.25,2.0,47.0,52.0,94.0
158,7.25,4.25,5.5,5.5,3.5,2.75,13.0,45.75,56.75
159,3.5,4.0,4.75,4.75,6.5,1.75,35.75,17.0,154.75
160,3.5,3.75,6.25,5.75,5.25,2.0,38.0,42.5,108.25
161,2.25,4.5,5.25,6.5,2.75,2.0,58.75,32.0,77.5
162,5.0,7.0,6.0,4.5,4.75,2.0,62.25,42.0,67.5
163,2.75,4.0,6.0,6.0,7.75,2.75,27.0,20.0,55.0
164,5.75,5.0,3.25,7.0,8.5,3.75,39.5,30.75,128.5
165,5.25,6.25,2.25,3.0,2.5,3.25,50.25,28.0,105.0
166,5.25,4.5,5.75,4.5,6.25,2.25,4.75,50.0,132.5
167,5.5,4.5,2.5,5.75,3.5,2.5,82.0,40.75,106.5
168,5.0,5.75,7.25,7.25,4.25,1.75,21.25,50.0,87.0
169,6.25,7.0,4.25,6.0,5.0,2.0,31.5,22.25,55.75
170,6.5,4.25,6.5,6.25,3.25,1.25,61.75,23.25,85.75
171,5.0,4.0,4.5,6.75,3.75,3.25,43.25,37.25,57.5
172,8.75,0.0,5.75,6.75,3.0,1.25,7.5,57.75,63.0
173,9.0,4.75,5.25,6.5,3.0,2.25,49.5,19.25,118.5
174,4.5,7.0,9.5,6.25,2.75,2.0,38.75,38.75,45.5
175,3.75,3.75,5.25,4.75,2.75,2.25,43.5,29.75,26.75
176,3.0,5.75,7.0,3.5,3.0,3.0,53.25,48.25,109.5
177,7.75,3.75,7.25,5.0,3.5,2.5,24.75,27.25,114.75
178,7.0,3.5,6.0,5.5,7.25,3.5,24.5,74.0,79.75
179,4.0,9.25,6.5,3.5,4.0,2.75,19.5,39.5,102.25
180,7.25,7.75,5.0,8.0,3.0,3.75,41.0,28.75,107.0
181,5.5,3.5,7.75,5.25,3.75,2.5,43.0,51.0,63.5
182,4.0,4.25,8.25,5.5,3.5,0.25,61.75,54.0,138.0
183,7.0,5.75,8.0,4.25,4.25,2.5,27.0,53.25,88.0
184,6.75,7.25,6.0,6.25,3.5,2.25,32.5,60.25,111.5
185,6.0,6.5,3.75,8.0,4.75,2.0,90.0,7.5,39.25
